Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
New Zealand,Sri Lanka,New Zealand,35 runs,Auckland,"Jan 11, 2019",T20I # 718
Bahrain,Saudi Arabia,Bahrain,41 runs,Al Amerat,"Jan 20, 2019",T20I # 719
Kuwait,Maldives,Kuwait,8 wickets,Al Amerat,"Jan 20, 2019",T20I # 720
Bahrain,Maldives,Bahrain,2 wickets,Al Amerat,"Jan 21, 2019",T20I # 721
Qatar,Saudi Arabia,Qatar,4 wickets,Al Amerat,"Jan 21, 2019",T20I # 722
Kuwait,Qatar,tied,-,Al Amerat,"Jan 22, 2019",T20I # 723
Maldives,Saudi Arabia,Saudi Arabia,6 wickets,Al Amerat,"Jan 22, 2019",T20I # 724
Maldives,Qatar,Qatar,8 wickets,Al Amerat,"Jan 23, 2019",T20I # 725
Bahrain,Kuwait,Kuwait,7 wickets,Al Amerat,"Jan 23, 2019",T20I # 726
Kuwait,Saudi Arabia,Saudi Arabia,7 wickets,Al Amerat,"Jan 24, 2019",T20I # 727
Bahrain,Qatar,Qatar,48 runs,Al Amerat,"Jan 24, 2019",T20I # 728
Qatar,Saudi Arabia,Saudi Arabia,8 wickets,Al Amerat,"Jan 24, 2019",T20I # 729
U.A.E.,Nepal,U.A.E.,21 runs,ICCA Dubai,"Jan 31, 2019",T20I # 730
U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,"Feb 1, 2019",T20I # 731
South Africa,Pakistan,South Africa,6 runs,Cape Town,"Feb 1, 2019",T20I # 732
U.A.E.,Nepal,Nepal,14 runs,ICCA Dubai,"Feb 3, 2019",T20I # 733
South Africa,Pakistan,South Africa,7 runs,Johannesburg,"Feb 3, 2019",T20I # 734
New Zealand,India,New Zealand,80 runs,Wellington,"Feb 6, 2019",T20I # 735
South Africa,Pakistan,Pakistan,27 runs,Centurion,"Feb 6, 2019",T20I # 736
New Zealand,India,India,7 wickets,Auckland,"Feb 8, 2019",T20I # 737
New Zealand,India,New Zealand,4 runs,Hamilton,"Feb 10, 2019",T20I # 738
Netherlands,Scotland,Netherlands,7 wickets,Al Amerat,"Feb 13, 2019",T20I # 739
Oman,Ireland,Ireland,15 runs,Al Amerat,"Feb 13, 2019",T20I # 740
Oman,Netherlands,Netherlands,8 wickets,Al Amerat,"Feb 15, 2019",T20I # 741
Ireland,Scotland,Scotland,6 wickets,Al Amerat,"Feb 15, 2019",T20I # 742
Ireland,Netherlands,Ireland,1 wickets,Al Amerat,"Feb 17, 2019",T20I # 743
Oman,Scotland,Scotland,7 wickets,Al Amerat,"Feb 17, 2019",T20I # 744
Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,"Feb 21, 2019",T20I # 745
Afghanistan,Ireland,Afghanistan,84 runs,Dehradun,"Feb 23, 2019",T20I # 746
Afghanistan,Ireland,Afghanistan,32 runs,Dehradun,"Feb 24, 2019",T20I # 747
India,Australia,Australia,3 wickets,Visakhapatnam,"Feb 24, 2019",T20I # 748
India,Australia,Australia,7 wickets,Bengaluru,"Feb 27, 2019",T20I # 749
West Indies,England,England,4 wickets,Gros Islet,"Mar 5, 2019",T20I # 750
West Indies,England,England,137 runs,Basseterre,"Mar 8, 2019",T20I # 751
West Indies,England,England,8 wickets,Basseterre,"Mar 10, 2019",T20I # 752
U.A.E.,U.S.A.,no result,-,ICCA Dubai,"Mar 15, 2019",T20I # 753
U.A.E.,U.S.A.,U.A.E.,24 runs,ICCA Dubai,"Mar 16, 2019",T20I # 754
South Africa,Sri Lanka,tied,-,Cape Town,"Mar 19, 2019",T20I # 755
P.N.G.,Philippines,P.N.G.,133 runs,Port Moresby,"Mar 22, 2019",T20I # 756
P.N.G.,Vanuatu,P.N.G.,8 wickets,Port Moresby,"Mar 22, 2019",T20I # 757
South Africa,Sri Lanka,South Africa,16 runs,Centurion,"Mar 22, 2019",T20I # 758
Philippines,Vanuatu,Vanuatu,63 runs,Port Moresby,"Mar 23, 2019",T20I # 759
P.N.G.,Philippines,no result,-,Port Moresby,"Mar 23, 2019",T20I # 760
Philippines,Vanuatu,Philippines,10 runs,Port Moresby,"Mar 24, 2019",T20I # 761
P.N.G.,Vanuatu,P.N.G.,10 wickets,Port Moresby,"Mar 24, 2019",T20I # 762
South Africa,Sri Lanka,South Africa,45 runs,Johannesburg,"Mar 24, 2019",T20I # 763
Spain,Malta,Spain,7 wickets,Cartagena,"Mar 29, 2019",T20I # 764
Spain,Malta,Spain,109 runs,Cartagena,"Mar 30, 2019",T20I # 765
Mexico,Belize,Belize,4 wickets,Naucalpan,"Apr 25, 2019",T20I # 766
Costa Rica,Panama,Panama,7 wickets,Naucalpan,"Apr 25, 2019",T20I # 767
Mexico,Costa Rica,Mexico,3 wickets,Naucalpan,"Apr 26, 2019",T20I # 768
Belize,Panama,Belize,9 runs,Naucalpan,"Apr 26, 2019",T20I # 769
Belize,Costa Rica,Belize,5 wickets,Naucalpan,"Apr 27, 2019",T20I # 771
Mexico,Panama,Panama,33 runs,Naucalpan,"Apr 27, 2019",T20I # 770
England,Pakistan,England,7 wickets,Cardiff,"May 5, 2019",T20I # 772
Belgium,Germany,Germany,9 runs,Waterloo,"May 11, 2019",T20I # 773
Belgium,Germany,Germany,62 runs,Waterloo,"May 11, 2019",T20I # 774
Belgium,Germany,Germany,6 wickets,Waterloo,"May 12, 2019",T20I # 775
Kenya,Nigeria,Kenya,8 wickets,Kampala,"May 20, 2019",T20I # 776
Ghana,Namibia,Namibia,9 wickets,Kampala,"May 20, 2019",T20I # 777
Uganda,Botswana,Uganda,52 runs,Kampala,"May 20, 2019",T20I # 778
Uganda,Namibia,Namibia,42 runs,Kampala,"May 21, 2019",T20I # 779
Botswana,Nigeria,Nigeria,11 runs,Kampala,"May 21, 2019",T20I # 780
Ghana,Kenya,Kenya,53 runs,Kampala,"May 21, 2019",T20I # 781
Ghana,Nigeria,Nigeria,28 runs,Kampala,"May 22, 2019",T20I # 782
Botswana,Namibia,Namibia,10 wickets,Kampala,"May 22, 2019",T20I # 783
Uganda,Kenya,Kenya,1 runs,Kampala,"May 22, 2019",T20I # 784
Uganda,Ghana,Uganda,7 wickets,Kampala,"May 23, 2019",T20I # 785
Germany,Italy,Italy,7 wickets,Utrecht,"May 25, 2019",T20I # 786
Germany,Italy,Italy,6 wickets,Utrecht,"May 25, 2019",T20I # 787
Guernsey,Jersey,tied,-,St Peter Port,"May 31, 2019",T20I # 788
Guernsey,Jersey,Jersey,41 runs,Castel,"Jun 1, 2019",T20I # 789
Guernsey,Jersey,Jersey,76 runs,Castel,"Jun 1, 2019",T20I # 790
Guernsey,Jersey,Jersey,8 wickets,Castel,"Jun 15, 2019",T20I # 791
Italy,Norway,Italy,20 runs,St Peter Port,"Jun 15, 2019",T20I # 792
Guernsey,Germany,Germany,5 wickets,Castel,"Jun 15, 2019",T20I # 793
Germany,Italy,Italy,5 wickets,St Peter Port,"Jun 16, 2019",T20I # 794
Denmark,Jersey,Jersey,18 runs,Castel,"Jun 16, 2019",T20I # 795
Guernsey,Italy,Italy,11 runs,St Peter Port,"Jun 16, 2019",T20I # 796
Jersey,Norway,Jersey,80 runs,Castel,"Jun 16, 2019",T20I # 797
Denmark,Norway,Denmark,46 runs,Castel,"Jun 17, 2019",T20I # 798
Guernsey,Denmark,no result,-,Castel,"Jun 18, 2019",T20I # 799
Denmark,Italy,no result,-,Castel,"Jun 18, 2019",T20I # 800
Guernsey,Norway,Guernsey,4 wickets,Castel,"Jun 19, 2019",T20I # 801
Italy,Jersey,Jersey,73 runs,St Peter Port,"Jun 19, 2019",T20I # 802
Denmark,Germany,Germany,7 wickets,Castel,"Jun 19, 2019",T20I # 803
Guernsey,Denmark,Guernsey,6 runs,Castel,"Jun 20, 2019",T20I # 804
Germany,Norway,Germany,7 wickets,St Peter Port,"Jun 20, 2019",T20I # 805
Denmark,Italy,Denmark,30 runs,Castel,"Jun 20, 2019",T20I # 806
Germany,Jersey,Germany,3 wickets,St Peter Port,"Jun 20, 2019",T20I # 807
Netherlands,Zimbabwe,Netherlands,49 runs,Rotterdam,"Jun 23, 2019",T20I # 808
Malaysia,Thailand,Malaysia,5 wickets,Kuala Lumpur,"Jun 24, 2019",T20I # 809
Malaysia,Maldives,Malaysia,73 runs,Kuala Lumpur,"Jun 25, 2019",T20I # 810
Netherlands,Zimbabwe,tied,-,Rotterdam,"Jun 25, 2019",T20I # 811
Maldives,Thailand,Maldives,2 wickets,Kuala Lumpur,"Jun 26, 2019",T20I # 812
Malaysia,Thailand,Malaysia,8 wickets,Kuala Lumpur,"Jun 27, 2019",T20I # 813
Malaysia,Maldives,no result,-,Kuala Lumpur,"Jun 28, 2019",T20I # 814
Maldives,Thailand,Thailand,5 wickets,Kuala Lumpur,"Jun 29, 2019",T20I # 815
Qatar,Kuwait,Kuwait,7 wickets,Doha,"Jul 4, 2019",T20I # 816
Qatar,Kuwait,tied,-,Doha,"Jul 5, 2019",T20I # 817
Qatar,Kuwait,Qatar,3 wickets,Doha,"Jul 6, 2019",T20I # 818
Samoa,P.N.G.,P.N.G.,9 wickets,Apia (No 1),"Jul 8, 2019",T20I # 819
P.N.G.,Vanuatu,P.N.G.,3 wickets,Apia (No 3),"Jul 9, 2019",T20I # 820
Samoa,Vanuatu,Samoa,2 wickets,Apia (No 1),"Jul 9, 2019",T20I # 821
Samoa,P.N.G.,P.N.G.,7 wickets,Apia (No 2),"Jul 10, 2019",T20I # 822
Samoa,Vanuatu,Vanuatu,32 runs,Apia (No 3),"Jul 12, 2019",T20I # 823
P.N.G.,Vanuatu,P.N.G.,59 runs,Apia (No 2),"Jul 12, 2019",T20I # 824
Ireland,Zimbabwe,Ireland,9 wickets,Bready,"Jul 12, 2019",T20I # 825
P.N.G.,Vanuatu,P.N.G.,32 runs,Apia (No 2),"Jul 13, 2019",T20I # 826
Malaysia,Nepal,Nepal,7 wickets,Kuala Lumpur,"Jul 13, 2019",T20I # 827
Denmark,Finland,Denmark,1 runs,Brondby,"Jul 13, 2019",T20I # 828
Denmark,Finland,Denmark,38 runs,Brondby,"Jul 13, 2019",T20I # 829
